"Election for","Midstocket/Rosemount Ward"
"Date","12 Apr 2020"
"Number to be elected",3
"Valid votes",4755
"Invalid votes",0
"Quota",1189.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Tom MASON (C)",,"Bill CORMIE (SNP)",,"Bill ROBB (Ind)",,"Alex JARVIS (Grn)",,"William SELL (LD)",,"Dustin MACDONALD (Ind)",
"Bill CORMIE (SNP)",1195,,1195.00000,-6.00000,1189.00000,,1189.00000,,1189.00000,,1189.00000,,1189.00000,"Elected"
"Derek Edward DAVIDSON (SNP)",398,+1.17444,399.17444,+4.64350,403.81794,+0.02008,403.83802,+87.31120,491.14922,+33.71521,524.86443,+79.63742,604.50185,
"Alex JARVIS (Grn)",256,+4.50202,260.50202,+0.26104,260.76306,+7.61232,268.37538,-268.37538,"-",,"-",,"-",
"Jenny LAING (Lab)",935,+25.05472,960.05472,+0.32630,960.38102,+10.67383,971.05485,+69.11673,1040.17158,+114.01408,1154.18566,+129.15333,1283.33899,"Elected"
"Dustin MACDONALD (Ind)",311,+12.82097,323.82097,+0.14056,323.96153,+55.32397,379.28550,+40.41658,419.70208,+72.66520,492.36728,-492.36728,"-",
"Tom MASON (C)",1318,-129.00000,1189.00000,,1189.00000,,1189.00000,,1189.00000,,1189.00000,,1189.00000,"Elected"
"Bill ROBB (Ind)",97,+20.35696,117.35696,+0.13554,117.49250,-117.49250,"-",,"-",,"-",,"-",
"William SELL (LD)",245,+27.01212,272.01212,+0.10040,272.11252,+20.73914,292.85166,+39.19954,332.05120,-332.05120,"-",,"-",
"Non-transferable", ,+38.07877,38.07877,+0.39266,38.47143,+23.12316,61.59459,+32.33133,93.92592,+111.65671,205.58263,+283.57653,489.15916,
"Totals",4755,,4755.00000,,4755.00000,,4755.00000,,4755.00000,,4755.00000,,4755.00000
