"Election for","Haddington and Lammermuir"
"Date","06 Jun 2020"
"Number to be elected",4
"Valid votes",7790
"Invalid votes",0
"Quota",1559.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Brian SMALL (C)",,"John MCMILLAN (Lab)",,"Cris THACKER (Grn)",,"Kelvin Logan PATE (LD)",,"Shamin AKHTAR (Lab)",,"Ruth CURRIE (SNP)",
"Shamin AKHTAR (Lab)",1169,+64.64224,1233.64224,+21.94173,1255.58397,+60.80468,1316.38865,+310.82004,1627.20869,-68.20869,1559.00000,,1559.00000,"Elected"
"Ruth CURRIE (SNP)",889,+4.66170,893.66170,+0.86985,894.53155,+52.64301,947.17456,+60.28271,1007.45727,+9.87939,1017.33666,-1017.33666,"-",
"John MCMILLAN (Lab)",1458,+135.18930,1593.18930,-34.18930,1559.00000,,1559.00000,,1559.00000,,1559.00000,,1559.00000,"Elected"
"Kelvin Logan PATE (LD)",568,+222.51848,790.51848,+4.28517,794.80365,+94.45880,889.26245,-889.26245,"-",,"-",,"-",
"Brian SMALL (C)",2262,-703.00000,1559.00000,,1559.00000,,1559.00000,,1559.00000,,1559.00000,,1559.00000,"Elected"
"Cris THACKER (Grn)",302,+27.34864,329.34864,+1.03998,330.38862,-330.38862,"-",,"-",,"-",,"-",
"Tom TROTTER (SNP)",1142,+11.18808,1153.18808,+2.21454,1155.40262,+80.37182,1235.77444,+91.08261,1326.85705,+6.51438,1333.37143,+893.95379,2227.32522,"Elected"
"Non-transferable", ,+237.45156,237.45156,+3.83803,241.28959,+42.11031,283.39990,+427.07709,710.47699,+51.81492,762.29191,+123.38287,885.67478,
"Totals",7790,,7790.00000,,7790.00000,,7790.00000,,7790.00000,,7790.00000,,7790.00000
