"Election for","Ward 8 Southside Central"
"Date","17 Apr 2020"
"Number to be elected",4
"Valid votes",7255
"Invalid votes",0
"Quota",1452.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9,"Stage",10
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Surplus of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Mark FIDDY (Ind)",,"Chris YOUNG (LD)",,"Lorraine DUNCAN (UKIP)",,"Gordon FRASER (C)",,"Qasim HANIF (SNP)",,"Mhairi HUNTER (SNP)",,"Soryia SIDDIQUE (Lab)",,"Alexander BELIC (SNP)",,"Cass MACGREGOR (Grn)",
"Alexander BELIC (SNP)",1244,+5.00000,1249.00000,+3.00000,1252.00000,+6.00000,1258.00000,+13.00000,1271.00000,+82.00000,1353.00000,+147.59106,1500.59106,,1500.59106,-48.59106,1452.00000,,1452.00000,"Elected"
"Lorraine DUNCAN (UKIP)",115,+5.00000,120.00000,+6.00000,126.00000,-126.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Mark FIDDY (Ind)",59,-59.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Gordon FRASER (C)",486,+14.00000,500.00000,+9.00000,509.00000,+43.00000,552.00000,-552.00000,"-",,"-",,"-",,"-",,"-",,"-",
"Qasim HANIF (SNP)",620,+3.00000,623.00000,,623.00000,+1.00000,624.00000,+3.00000,627.00000,-627.00000,"-",,"-",,"-",,"-",,"-",
"Mhairi HUNTER (SNP)",1287,+5.00000,1292.00000,+6.00000,1298.00000,+3.00000,1301.00000,+8.00000,1309.00000,+328.00000,1637.00000,-185.00000,1452.00000,,1452.00000,,1452.00000,,1452.00000,"Elected"
"Cass MACGREGOR (Grn)",819,+10.00000,829.00000,+27.00000,856.00000,+14.00000,870.00000,+74.00000,944.00000,+27.00000,971.00000,+20.34180,991.34180,+4.26995,995.61175,+16.82153,1012.43328,-1012.43328,"-",
"James SCANLON (Lab)",1190,+4.00000,1194.00000,+22.00000,1216.00000,+21.00000,1237.00000,+146.00000,1383.00000,+10.00000,1393.00000,+5.53749,1398.53749,+35.90471,1434.44220,+4.68885,1439.13105,+447.08896,1886.22001,"Elected"
"Soryia SIDDIQUE (Lab)",1331,+3.00000,1334.00000,+22.00000,1356.00000,+5.00000,1361.00000,+47.00000,1408.00000,+100.00000,1508.00000,,1508.00000,-56.00000,1452.00000,,1452.00000,,1452.00000,"Elected"
"Chris YOUNG (LD)",104,+6.00000,110.00000,-110.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+4.00000,4.00000,+15.00000,19.00000,+33.00000,52.00000,+261.00000,313.00000,+80.00000,393.00000,+11.52965,404.52965,+15.82534,420.35499,+27.08068,447.43567,+565.34432,1012.77999,
"Totals",7255,,7255.00000,,7255.00000,,7255.00000,,7255.00000,,7255.00000,,7255.00000,,7255.00000,,7255.00000,,7255.00000
