"Election for","Ward 3 - Cumbernauld South"
"Date","23 Mar 2020"
"Number to be elected",4
"Valid votes",5919
"Invalid votes",0
"Quota",1184.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Kevin MCVEY (SSP)",,"Patrick Pearse MCALEER (Grn)",,"William HOMER (Ind)",,"William GOLDIE (SNP)",,"Stephanie GRIFFIN (Lab)",,"Allan GRAHAM (Lab)",,"Colin GIBSON (C)",
"Junaid ASHRAF (SNP)",836,+4.00000,840.00000,+40.00000,880.00000,+27.00000,907.00000,+13.47186,920.47186,+22.07948,942.55134,+29.60852,972.15986,+53.68160,1025.84146,"Elected"
"Colin GIBSON (C)",738,+2.00000,740.00000,+9.00000,749.00000,+45.00000,794.00000,+0.71532,794.71532,+29.00000,823.71532,+88.16182,911.87714,-911.87714,"-",
"William GOLDIE (SNP)",1146,+5.00000,1151.00000,+27.00000,1178.00000,+55.00000,1233.00000,-49.00000,1184.00000,,1184.00000,,1184.00000,,1184.00000,"Elected"
"Allan GRAHAM (Lab)",964,+6.00000,970.00000,+11.00000,981.00000,+37.00000,1018.00000,+1.78830,1019.78830,+628.23844,1648.02674,-464.02674,1184.00000,,1184.00000,"Elected"
"Stephanie GRIFFIN (Lab)",727,+15.00000,742.00000,+21.00000,763.00000,+27.00000,790.00000,+0.95376,790.95376,-790.95376,"-",,"-",,"-",
"William HOMER (Ind)",224,+3.00000,227.00000,+35.00000,262.00000,-262.00000,"-",,"-",,"-",,"-",,"-",
"Catherine JOHNSTON (SNP)",1030,+3.00000,1033.00000,+42.00000,1075.00000,+18.00000,1093.00000,+28.57306,1121.57306,+27.23844,1148.81150,+32.55828,1181.36978,+42.79016,1224.15994,"Elected"
"Patrick Pearse MCALEER (Grn)",187,+23.00000,210.00000,-210.00000,"-",,"-",,"-",,"-",,"-",,"-",
"Kevin MCVEY (SSP)",67,-67.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+6.00000,6.00000,+25.00000,31.00000,+53.00000,84.00000,+3.49770,87.49770,+84.39740,171.89510,+313.69812,485.59322,+815.40538,1300.99860,
"Totals",5919,,5919.00000,,5919.00000,,5919.00000,,5919.00000,,5919.00000,,5919.00000,,5919.00000
