"Election for","Ward 8 - East Kilbride Central North"
"Date","02 May 2020"
"Number to be elected",3
"Valid votes",6199
"Invalid votes",0
"Quota",1550.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Stuart MCLEAN (Sol)",,"John RINTOUL (LD)",,"James THORNBURY (Grn)",,"Alice Marie MITCHELL (Lab)",,"Joe FAGAN (Lab)",,"Darren CLYDE (C)",
"Darren CLYDE (C)",1163,+2.00000,1165.00000,+23.00000,1188.00000,+21.00000,1209.00000,+49.00000,1258.00000,+61.04730,1319.04730,-1319.04730,"-",
"Joe FAGAN (Lab)",1163,+10.00000,1173.00000,+25.00000,1198.00000,+31.00000,1229.00000,+644.00000,1873.00000,-323.00000,1550.00000,,1550.00000,"Elected"
"Hugh MACDONALD (SNP)",1374,+15.00000,1389.00000,+9.00000,1398.00000,+54.00000,1452.00000,+36.00000,1488.00000,+31.21345,1519.21345,+98.45005,1617.66350,"Elected"
"Stuart MCLEAN (Sol)",69,-69.00000,"-",,"-",,"-",,"-",,"-",,"-",
"Alice Marie MITCHELL (Lab)",795,+4.00000,799.00000,+28.00000,827.00000,+27.00000,854.00000,-854.00000,"-",,"-",,"-",
"John RINTOUL (LD)",153,+4.00000,157.00000,-157.00000,"-",,"-",,"-",,"-",,"-",
"James THORNBURY (Grn)",239,+15.00000,254.00000,+40.00000,294.00000,-294.00000,"-",,"-",,"-",,"-",
"Sheena WARDHAUGH (SNP)",1243,+6.00000,1249.00000,+12.00000,1261.00000,+90.00000,1351.00000,+39.00000,1390.00000,+29.66140,1419.66140,+62.00105,1481.66245,"Elected"
"Non-transferable", ,+13.00000,13.00000,+20.00000,33.00000,+71.00000,104.00000,+86.00000,190.00000,+201.07785,391.07785,+1158.59620,1549.67405,
"Totals",6199,,6199.00000,,6199.00000,,6199.00000,,6199.00000,,6199.00000,,6199.00000
