"Election for","Ward 2 - Broxburn, Uphall and Winchburgh"
"Date","14 Apr 2020"
"Number to be elected",4
"Valid votes",6967
"Invalid votes",0
"Quota",1394.00000
"OpenSTV","1.6.1"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
,"First","Surplus of",,"Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Diane CALDER (SNP)",,"Chris HORNE (C)",,"Angela DORAN (Lab)",,"Elaine MALLON (TUSC)",,"June DOUGLAS (Grn)",,"John Robertson WOODS (LD)",,"Audrey MIDDLETON (Lab)",,"Pippa PLEVIN (SNP)",
"Diane CALDER (SNP)",1898,-504.00000,1394.00000,,1394.00000,,1394.00000,,1394.00000,,1394.00000,,1394.00000,,1394.00000,,1394.00000,"Elected"
"Janet CAMPBELL (SNP)",583,+284.92442,867.92442,+12.46205,880.38647,+1.18057,881.56704,+12.60616,894.17320,+66.86626,961.03946,+29.26386,990.30332,+66.47272,1056.77604,+609.34739,1666.12343,"Elected"
"Angela DORAN (Lab)",1324,+16.19794,1340.19794,+108.18120,1448.37914,-54.37914,1394.00000,,1394.00000,,1394.00000,,1394.00000,,1394.00000,,1394.00000,"Elected"
"June DOUGLAS (Grn)",256,+17.79118,273.79118,+22.80290,296.59408,+1.97111,298.56519,+14.19667,312.76186,-312.76186,"-",,"-",,"-",,"-",
"Chris HORNE (C)",1897,,1897.00000,-503.00000,1394.00000,,1394.00000,,1394.00000,,1394.00000,,1394.00000,,1394.00000,,1394.00000,"Elected"
"Elaine MALLON (TUSC)",57,+2.12432,59.12432,+13.25750,72.38182,+1.20583,73.58765,-73.58765,"-",,"-",,"-",,"-",,"-",
"Audrey MIDDLETON (Lab)",313,+4.77972,317.77972,+50.11335,367.89307,+42.21994,410.11301,+13.17391,423.28692,+43.75365,467.04057,+160.64586,627.68643,-627.68643,"-",,"-",
"Pippa PLEVIN (SNP)",422,+148.96794,570.96794,+5.56815,576.53609,+0.55007,577.08616,+3.06216,580.14832,+46.27845,626.42677,+41.88469,668.31146,+70.51056,738.82202,-738.82202,"-",
"John Robertson WOODS (LD)",217,+6.63850,223.63850,+126.74170,350.38020,+2.01134,352.39154,+15.34054,367.73208,+86.39334,454.12542,-454.12542,"-",,"-",,"-",
"Non-transferable", ,+22.57598,22.57598,+163.87315,186.44913,+5.24028,191.68941,+15.20821,206.89762,+69.47016,276.36778,+222.33101,498.69879,+490.70315,989.40194,+129.47463,1118.87657,
"Totals",6967,,6967.00000,,6967.00000,,6967.00000,,6967.00000,,6967.00000,,6967.00000,,6967.00000,,6967.00000
